Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RM03038,12.43,16.7773,9.7166,36.1679,22.833,6.5277,13.074,13.9732,7.8512,14.2366,22.5878,10.2207,17.8664,1,8.3535,10.139,35.7737
RC03665,149.5901,20.7216,20.2733,59.6132,28.2912,37.114,11.5059,42.1435,10.1349,16.4427,14.7377,21.5694,10.7089,31.6884,13.9912,45.1717,41.2643
RM03665,1,20.7216,5.6488,1,17.3747,2.474,4.6065,8.7839,4.0049,7.6183,11.7939,7.62,8.6542,1,7.7407,10.139,15.6416
RCC0181,138.1601,154.8286,238.6714,106.5038,1845.8875,75.8075,94.926,405.7629,106.412,162.0452,55.9508,143.2517,98.5635,31.6884,86.6683,151.793,533.5866
RC01595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC03058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC03057,13.43,21.7216,19.1426,25.4453,18.3747,7.5277,15.9556,7.1893,19.3082,77.0074,9.8501,8.5413,11.2348,8.1377,11.3144,15.7085,31.2831
RC03866,3,14.8329,3.9685,73.3359,13.9164,3,10.8402,3.3707,175.3612,44.9159,3.9813,4.0245,7.3803,3,14.7656,6.0464,6.6604
RC07034,144.1601,168.7171,3782.3345,124.2264,154.3727,31.3217,1494.4486,45.1781,1373.2692,145.9842,150.2645,876.4295,100.9959,20592.7803,45.2382,64.8802,107.6607
RC07041,2,5.9443,2.5811,13.7226,2,2.3685,3.0976,2,3.3222,63.7708,2.9813,2.4729,2.7451,2,3.1031,2,2
RCC0078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC02265,59.15,526.5948,128.4869,259.8981,220.3299,63.5412,156.2958,173.9871,133.134,244.6708,79.5198,116.4318,194.5529,75.6522,129.2156,245.7059,505.3035
RC02266,1,16.7773,1.3874,1,1,1,2.0976,1.3707,1,3.2061,5.9063,1.2364,77.4522,1,1,4.0463,1
RC07050,4,11.8886,5.0655,4,25.833,4.737,5.7248,5.4827,5.6828,101.0683,4.9813,6.5219,5.5354,4,5.1031,8.5695,5.8302
RC07109,13.43,21.7216,31.1521,25.4453,253.0794,17.8459,125.0917,7.9306,332.6595,125.5415,6.9063,9.4081,7.5996,8.1377,155.5656,6.5695,64.2266
DMN0063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMN0064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMN0065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMN0066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMN0067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMN0068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC00551,1,1,1.5811,47.8906,6.4582,1.3685,6.1746,1,224.2042,29.6793,2.9625,1.7881,4.7255,1,45.7338,1,1
RM00471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC00471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RM00667,115.3001,48.3319,28.0213,47.8906,6.4582,31.9548,5.3905,48.0741,115.7873,314.2659,112.8641,51.5959,44.5547,473.6014,13.8686,89.3434,33.9435
RMC0015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RM01248,2,13.833,10.9103,2,12.9165,5.3166,5.2929,16.0852,6.2068,24.061,6.9063,5.31,8.9543,8.1377,6.4121,5.0463,36.7737
RM01253,469.6303,95.6637,36.4473,1,11.9165,23.8476,1.3136,47.7034,2.202,9.8244,951.8446,272.0269,68.0594,99.2029,2.3481,22.3243,41.2643
RM00245,35.29,32.5546,39.8371,24.4453,17.3747,21.2681,2.8817,29.9116,21.7939,5.4122,61.8384,54.5118,43.787,93.0652,5.0444,49.7412,41.2643
RM03313,1,1,1,12.7226,1,1,1.784,1,3.1635,12.0305,1.9813,1.0788,1.6322,1,1.3677,2.5232,1
RM00239,1,1,1,12.7226,1,1,1.784,1,3.1635,12.0305,1.9813,1.0788,1.6322,1,1.3677,2.5232,1
RC01252,473.6303,36.5545,37.2514,16.7226,37.7494,55.1173,79.9526,255.9382,270.5132,27.061,158.0771,167.7421,50.2482,23.413,95.9383,20.2316,91.0192
